Indice	Costo
0	1
1	2
2	2
3	9
4	9
5	5
6	8
7	5
8	5
9	2
10	6
11	3
12	5
13	10
14	5
15	4
16	9
17	7
18	7
19	10
20	10
21	3
22	1
23	9
24	3
25	9
26	3
27	4
28	10
29	4
30	10
31	7
32	10
33	9
34	3
35	5
36	5
37	5
38	9
39	1
40	10
41	1
42	1
43	6
44	6
45	10
46	7
47	9
48	8
49	4
50	7
51	10
52	10
53	6
54	6
55	9
56	9
57	10
58	5
59	5
60	8
61	1
62	4
63	10
64	4
65	4
66	1
67	2
68	6
69	3
70	5
71	2
72	3
73	1
74	10
75	3
76	2
77	3
78	2
79	10
80	8
81	1
82	1
83	10
84	2
85	10
86	5
87	5
88	1
89	2
90	1
91	9
92	5
93	10
94	4
95	6
96	3
